Thread | Job | Op | Time(s)
-----------------------------
     0 |   0 |  0 | 0.00000000
     0 |   0 |  1 | 0.00000000
     0 |   0 |  2 | 0.00000000
     0 |   0 |  3 | 0.00000000
     0 |   0 |  4 | 0.00000000
     0 |   0 |  5 | 0.00000000
     0 |   0 |  6 | 0.00000000
     0 |   0 |  7 | 0.00000000
     0 |   0 |  8 | 0.00000000
     0 |   0 |  9 | 0.00000000
     0 |   0 | 10 | 0.00000000
     0 |   0 | 11 | 0.00000000
     0 |   0 | 12 | 0.00000000
     0 |   0 | 13 | 0.00000000
     0 |   0 | 14 | 0.00000000
     0 |   0 | 15 | 0.00000000
     0 |   0 | 16 | 0.00000000
     0 |   0 | 17 | 0.00000000
     0 |   0 | 18 | 0.00000000
     0 |   0 | 19 | 0.00000000
     0 |   0 | 20 | 0.00000000
     0 |   0 | 21 | 0.00000000
     0 |   0 | 22 | 0.00000000
     0 |   0 | 23 | 0.00000000
     0 |   0 | 24 | 0.00000000
     0 |   0 |  0 | 0.00000000
     0 |   0 |  1 | 0.00000000
     0 |   0 |  2 | 0.00000000
     0 |   0 |  3 | 0.00000000
     0 |   0 |  4 | 0.00000000
     0 |   0 |  5 | 0.00000000
     0 |   0 |  6 | 0.00000000
     0 |   0 |  7 | 0.00000000
     0 |   0 |  8 | 0.00000000
     0 |   0 |  9 | 0.00000000
     0 |   0 | 10 | 0.00000000
     0 |   0 | 11 | 0.00000000
     0 |   0 | 12 | 0.00000000
     0 |   0 | 13 | 0.00000000
     0 |   0 | 14 | 0.00000000
     0 |   0 | 15 | 0.00000000
     0 |   0 | 16 | 0.00000000
     0 |   0 | 17 | 0.00000000
     0 |   0 | 18 | 0.00000000
     0 |   0 | 19 | 0.00000000
     0 |   0 | 20 | 0.00000000
     0 |   0 | 21 | 0.00000000
     0 |   0 | 22 | 0.00000000
     0 |   0 | 23 | 0.00000000
     0 |   0 | 24 | 0.00000000
     1 |   1 |  0 | 0.00000000
     1 |   1 |  1 | 0.00000000
     1 |   1 |  2 | 0.00000000
     1 |   1 |  3 | 0.00000000
     1 |   1 |  4 | 0.00000000
     1 |   1 |  5 | 0.00000000
     1 |   1 |  6 | 0.00000000
     1 |   1 |  7 | 0.00000000
     1 |   1 |  8 | 0.00000000
     1 |   1 |  9 | 0.00000000
     1 |   1 | 10 | 0.00000000
     1 |   1 | 11 | 0.00000000
     1 |   1 | 12 | 0.00000000
     1 |   1 | 13 | 0.00000000
     1 |   1 | 14 | 0.00000000
     1 |   1 | 15 | 0.00000000
     1 |   1 | 16 | 0.00000000
     1 |   1 | 17 | 0.00000000
     1 |   1 | 18 | 0.00000000
     1 |   1 | 19 | 0.00000000
     1 |   1 | 20 | 0.00000000
     1 |   1 | 21 | 0.00000000
     1 |   1 | 22 | 0.00000000
     1 |   1 | 23 | 0.00000000
     1 |   1 | 24 | 0.00000000
     1 |   1 |  0 | 0.00000000
     1 |   1 |  1 | 0.00000000
     1 |   1 |  2 | 0.00000000
     1 |   1 |  3 | 0.00000000
     1 |   1 |  4 | 0.00000000
     1 |   1 |  5 | 0.00000000
     1 |   1 |  6 | 0.00000000
     1 |   1 |  7 | 0.00000000
     1 |   1 |  8 | 0.00000000
     1 |   1 |  9 | 0.00000000
     1 |   1 | 10 | 0.00000000
     1 |   1 | 11 | 0.00000000
     1 |   1 | 12 | 0.00000000
     1 |   1 | 13 | 0.00000000
     1 |   1 | 14 | 0.00000000
     1 |   1 | 15 | 0.00000000
     1 |   1 | 16 | 0.00000000
     1 |   1 | 17 | 0.00000000
     1 |   1 | 18 | 0.00000000
     1 |   1 | 19 | 0.00000000
     1 |   1 | 20 | 0.00000000
     1 |   1 | 21 | 0.00000000
     1 |   1 | 22 | 0.00000000
     1 |   1 | 23 | 0.00000000
     1 |   1 | 24 | 0.00000000
     2 |   2 |  0 | 0.00000000
     2 |   2 |  1 | 0.00000000
     2 |   2 |  2 | 0.00000000
     2 |   2 |  3 | 0.00000000
     2 |   2 |  4 | 0.00000000
     2 |   2 |  5 | 0.00000000
     2 |   2 |  6 | 0.00000000
     2 |   2 |  7 | 0.00000000
     2 |   2 |  8 | 0.00000000
     2 |   2 |  9 | 0.00000000
     2 |   2 | 10 | 0.00000000
     2 |   2 | 11 | 0.00000000
     2 |   2 | 12 | 0.00000000
     2 |   2 | 13 | 0.00000000
     2 |   2 | 14 | 0.00000000
     2 |   2 | 15 | 0.00000000
     2 |   2 | 16 | 0.00000000
     2 |   2 | 17 | 0.00000000
     2 |   2 | 18 | 0.00000000
     2 |   2 | 19 | 0.00000000
     2 |   2 | 20 | 0.00000000
     2 |   2 | 21 | 0.00000000
     2 |   2 | 22 | 0.00000000
     2 |   2 | 23 | 0.00000000
     2 |   2 | 24 | 0.00000000
     2 |   2 |  0 | 0.00000000
     2 |   2 |  1 | 0.00000000
     2 |   2 |  2 | 0.00000000
     2 |   2 |  3 | 0.00000000
     2 |   2 |  4 | 0.00000000
     2 |   2 |  5 | 0.00000000
     2 |   2 |  6 | 0.00000000
     2 |   2 |  7 | 0.00000000
     2 |   2 |  8 | 0.00000000
     2 |   2 |  9 | 0.00000000
     2 |   2 | 10 | 0.00000000
     2 |   2 | 11 | 0.00000000
     2 |   2 | 12 | 0.00000000
     2 |   2 | 13 | 0.00000000
     2 |   2 | 14 | 0.00000000
     2 |   2 | 15 | 0.00000000
     2 |   2 | 16 | 0.00000000
     2 |   2 | 17 | 0.00000000
     2 |   2 | 18 | 0.00000000
     2 |   2 | 19 | 0.00000000
     2 |   2 | 20 | 0.00000000
     2 |   2 | 21 | 0.00000000
     2 |   2 | 22 | 0.00000000
     2 |   2 | 23 | 0.00000000
     2 |   2 | 24 | 0.00000000
     3 |   3 |  0 | 0.00000000
     3 |   3 |  1 | 0.00000000
     3 |   3 |  2 | 0.00000000
     3 |   3 |  3 | 0.00000000
     3 |   3 |  4 | 0.00000000
     3 |   3 |  5 | 0.00000000
     3 |   3 |  6 | 0.00000000
     3 |   3 |  7 | 0.00000000
     3 |   3 |  8 | 0.00000000
     3 |   3 |  9 | 0.00000000
     3 |   3 | 10 | 0.00000000
     3 |   3 | 11 | 0.00000000
     3 |   3 | 12 | 0.00000000
     3 |   3 | 13 | 0.00000000
     3 |   3 | 14 | 0.00000000
     3 |   3 | 15 | 0.00000000
     3 |   3 | 16 | 0.00000000
     3 |   3 | 17 | 0.00000000
     3 |   3 | 18 | 0.00000000
     3 |   3 | 19 | 0.00000000
     3 |   3 | 20 | 0.00000000
     3 |   3 | 21 | 0.00000000
     3 |   3 | 22 | 0.00000000
     3 |   3 | 23 | 0.00000000
     3 |   3 | 24 | 0.00000000
     3 |   3 |  0 | 0.00000000
     3 |   3 |  1 | 0.00000000
     3 |   3 |  2 | 0.00000000
     3 |   3 |  3 | 0.00000000
     3 |   3 |  4 | 0.00000000
     3 |   3 |  5 | 0.00000000
     3 |   3 |  6 | 0.00000000
     3 |   3 |  7 | 0.00000000
     3 |   3 |  8 | 0.00000000
     3 |   3 |  9 | 0.00000000
     3 |   3 | 10 | 0.00000000
     3 |   3 | 11 | 0.00000000
     3 |   3 | 12 | 0.00000000
     3 |   3 | 13 | 0.00000000
     3 |   3 | 14 | 0.00000000
     3 |   3 | 15 | 0.00000000
     3 |   3 | 16 | 0.00000000
     3 |   3 | 17 | 0.00000000
     3 |   3 | 18 | 0.00000000
     3 |   3 | 19 | 0.00000000
     3 |   3 | 20 | 0.00000000
     3 |   3 | 21 | 0.00000000
     3 |   3 | 22 | 0.00000000
     3 |   3 | 23 | 0.00000000
     3 |   3 | 24 | 0.00000000
     4 |   4 |  0 | 0.00000000
     4 |   4 |  1 | 0.00000000
     4 |   4 |  2 | 0.00000000
     4 |   4 |  3 | 0.00000000
     4 |   4 |  4 | 0.00000000
     4 |   4 |  5 | 0.00000000
     4 |   4 |  6 | 0.00000000
