Order | Job | Op | Time(s)
-----------------------------
    1 |   0 |  0 | 0.00000000
    2 |   1 |  0 | 0.00000000
    3 |   2 |  0 | 0.00000000
    4 |   3 |  0 | 0.00000000
    5 |   4 |  0 | 0.00000000
    6 |   5 |  0 | 0.00000000
    7 |   6 |  0 | 0.00000000
    8 |   7 |  0 | 0.00000000
    9 |   8 |  0 | 0.00000000
   10 |   9 |  0 | 0.00000000
   11 |  10 |  0 | 0.00000000
   12 |  11 |  0 | 0.00000000
   13 |  12 |  0 | 0.00000000
   14 |  13 |  0 | 0.00000000
   15 |  14 |  0 | 0.00000000
   16 |  15 |  0 | 0.00000000
   17 |  16 |  0 | 0.00000000
   18 |  17 |  0 | 0.00000000
   19 |  18 |  0 | 0.00000000
   20 |  19 |  0 | 0.00000000
   21 |  20 |  0 | 0.00000000
   22 |  21 |  0 | 0.00000000
   23 |  22 |  0 | 0.00000000
   24 |  23 |  0 | 0.00000000
   25 |  24 |  0 | 0.00000000
   26 |   6 |  1 | 0.00000000
   27 |  13 |  1 | 0.00000000
   28 |  19 |  1 | 0.00000000
   29 |  11 |  1 | 0.00000000
   30 |   2 |  1 | 0.00000000
   31 |   4 |  1 | 0.00000000
   32 |  10 |  1 | 0.00000000
   33 |  18 |  1 | 0.00000000
   34 |  22 |  1 | 0.00000000
   35 |  11 |  2 | 0.00000000
   36 |   3 |  1 | 0.00000000
   37 |  19 |  2 | 0.00000000
   38 |  20 |  1 | 0.00000000
   39 |   0 |  1 | 0.00000000
   40 |   1 |  1 | 0.00000000
   41 |  12 |  1 | 0.00000000
   42 |  24 |  1 | 0.00000000
   43 |   9 |  1 | 0.00000000
   44 |  17 |  1 | 0.00000000
   45 |   5 |  1 | 0.00000000
   46 |   7 |  1 | 0.00000000
   47 |  11 |  3 | 0.00000000
   48 |  13 |  2 | 0.00000000
   49 |  14 |  1 | 0.00000000
   50 |  19 |  3 | 0.00100000
   51 |  22 |  2 | 0.00000000
   52 |   4 |  2 | 0.00000000
   53 |   5 |  2 | 0.00000000
   54 |  16 |  1 | 0.00000000
   55 |  17 |  2 | 0.00000000
   56 |  18 |  2 | 0.00000000
   57 |   1 |  2 | 0.00000000
   58 |  19 |  4 | 0.00000000
   59 |  24 |  2 | 0.00000000
   60 |   7 |  2 | 0.00000000
   61 |  10 |  2 | 0.00000000
   62 |  12 |  2 | 0.00000000
   63 |  14 |  2 | 0.00000000
   64 |   5 |  3 | 0.00000000
   65 |   8 |  1 | 0.00000000
   66 |  10 |  3 | 0.00000000
   67 |  18 |  3 | 0.00000000
   68 |  22 |  3 | 0.00000000
   69 |   9 |  2 | 0.00000000
   70 |  15 |  1 | 0.00000000
   71 |  23 |  1 | 0.00000000
   72 |   1 |  3 | 0.00000000
   73 |   3 |  2 | 0.00000000
   74 |  10 |  4 | 0.00000000
   75 |   9 |  3 | 0.00000000
   76 |  15 |  2 | 0.00000000
   77 |  16 |  2 | 0.00000000
   78 |  24 |  3 | 0.00000000
   79 |   1 |  4 | 0.00000000
   80 |   6 |  2 | 0.00000000
   81 |   8 |  2 | 0.00000000
   82 |   4 |  3 | 0.00000000
   83 |  19 |  5 | 0.00000000
   84 |  20 |  2 | 0.00000000
   85 |  23 |  2 | 0.00000000
   86 |  11 |  4 | 0.00000000
   87 |  12 |  3 | 0.00000000
   88 |  21 |  1 | 0.00000000
   89 |   9 |  4 | 0.00000000
   90 |  22 |  4 | 0.00000000
   91 |  13 |  3 | 0.00000000
   92 |  15 |  3 | 0.00000000
   93 |  13 |  4 | 0.00000000
   94 |  24 |  4 | 0.00000000
   95 |   5 |  4 | 0.00000000
   96 |   9 |  5 | 0.00000000
   97 |  10 |  5 | 0.00000000
   98 |  11 |  5 | 0.00000000
   99 |  16 |  3 | 0.00000000
  100 |  19 |  6 | 0.00000000
  101 |   2 |  2 | 0.00000000
  102 |   3 |  3 | 0.00000000
  103 |  19 |  7 | 0.00000000
  104 |  20 |  3 | 0.00000000
  105 |  17 |  3 | 0.00000000
  106 |  22 |  5 | 0.00000000
  107 |   1 |  5 | 0.00000000
  108 |   5 |  5 | 0.00000000
  109 |  13 |  5 | 0.00000000
  110 |  14 |  3 | 0.00000000
  111 |  15 |  4 | 0.00000000
  112 |  18 |  4 | 0.00000000
  113 |  20 |  4 | 0.00000000
  114 |   0 |  2 | 0.00000000
  115 |   6 |  3 | 0.00000000
  116 |   7 |  3 | 0.00000000
  117 |   9 |  6 | 0.00000000
  118 |  17 |  4 | 0.00000000
