Thread | Job | Op | Time(s)
-----------------------------
     0 |   0 |  0 | 0.00000000
     0 |   0 |  1 | 0.00000000
     0 |   0 |  2 | 0.00000000
     0 |   0 |  3 | 0.00000000
     0 |   0 |  4 | 0.00000000
     0 |   0 |  5 | 0.00000000
     0 |   0 |  0 | 0.00000000
     0 |   0 |  1 | 0.00000000
     0 |   0 |  2 | 0.00000000
     0 |   0 |  3 | 0.00000000
     0 |   0 |  4 | 0.00000000
     0 |   0 |  5 | 0.00000000
     1 |   1 |  0 | 0.00000000
     1 |   1 |  1 | 0.00000000
     1 |   1 |  2 | 0.00000000
     1 |   1 |  3 | 0.00000000
     1 |   1 |  4 | 0.00000000
     1 |   1 |  5 | 0.00000000
     1 |   1 |  0 | 0.00000000
     1 |   1 |  1 | 0.00000000
     1 |   1 |  2 | 0.00000000
     1 |   1 |  3 | 0.00000000
     1 |   1 |  4 | 0.00000000
     1 |   1 |  5 | 0.00000000
     2 |   2 |  0 | 0.00000000
     2 |   2 |  1 | 0.00000000
     2 |   2 |  2 | 0.00000000
     2 |   2 |  3 | 0.00000000
     2 |   2 |  4 | 0.00000000
     2 |   2 |  5 | 0.00000000
     2 |   2 |  0 | 0.00000000
     2 |   2 |  1 | 0.00000000
     2 |   2 |  2 | 0.00000000
     2 |   2 |  3 | 0.00000000
     2 |   2 |  4 | 0.00000000
     2 |   2 |  5 | 0.00000000
     3 |   3 |  0 | 0.00000000
     3 |   3 |  1 | 0.00000000
     3 |   3 |  2 | 0.00000000
     3 |   3 |  3 | 0.00000000
     3 |   3 |  4 | 0.00000000
     3 |   3 |  5 | 0.00000000
     3 |   3 |  0 | 0.00000000
     3 |   3 |  1 | 0.00000000
     3 |   3 |  2 | 0.00000000
     3 |   3 |  3 | 0.00000000
     3 |   3 |  4 | 0.00000000
     3 |   3 |  5 | 0.00000000
     4 |   4 |  0 | 0.00000000
     4 |   4 |  1 | 0.00000000
     4 |   4 |  2 | 0.00000000
     4 |   4 |  3 | 0.00000000
     4 |   4 |  4 | 0.00000000
     4 |   4 |  5 | 0.00000000
     4 |   4 |  0 | 0.00000000
     4 |   4 |  1 | 0.00000000
     4 |   4 |  2 | 0.00000000
     4 |   4 |  3 | 0.00000000
     4 |   4 |  4 | 0.00000000
     4 |   4 |  5 | 0.00000000
     5 |   5 |  0 | 0.00000000
     5 |   5 |  1 | 0.00000000
     5 |   5 |  2 | 0.00000000
     5 |   5 |  3 | 0.00000000
     5 |   5 |  4 | 0.00000000
     5 |   5 |  5 | 0.00000000
     5 |   5 |  0 | 0.00000000
     5 |   5 |  1 | 0.00000000
     5 |   5 |  2 | 0.00000000
     5 |   5 |  3 | 0.00000000
     5 |   5 |  4 | 0.00000000
     5 |   5 |  5 | 0.00000000
