Order | Job | Op | Time(s)
-----------------------------
    1 |   0 |  0 | 0.00000000
    2 |   1 |  0 | 0.00000000
    3 |   2 |  0 | 0.00000000
    4 |   3 |  0 | 0.00000000
    5 |   4 |  0 | 0.00000000
    6 |   5 |  0 | 0.00000000
    7 |   0 |  1 | 0.00000000
    8 |   0 |  2 | 0.00000000
    9 |   2 |  1 | 0.00000000
   10 |   1 |  1 | 0.00000000
   11 |   2 |  2 | 0.00000000
   12 |   3 |  1 | 0.00000000
   13 |   4 |  1 | 0.00000000
   14 |   5 |  1 | 0.00000000
   15 |   2 |  3 | 0.00000000
   16 |   3 |  2 | 0.00000000
   17 |   5 |  2 | 0.00000000
   18 |   1 |  2 | 0.00000000
   19 |   0 |  3 | 0.00000000
   20 |   3 |  3 | 0.00000000
   21 |   4 |  2 | 0.00000000
   22 |   2 |  4 | 0.00000000
   23 |   2 |  5 | 0.00000000
   24 |   5 |  3 | 0.00000000
   25 |   0 |  4 | 0.00000000
   26 |   1 |  3 | 0.00000000
   27 |   0 |  5 | 0.00000000
   28 |   3 |  4 | 0.00000000
   29 |   4 |  3 | 0.00000000
   30 |   5 |  4 | 0.00000000
   31 |   1 |  4 | 0.00000000
   32 |   4 |  4 | 0.00000000
   33 |   1 |  5 | 0.00000000
   34 |   4 |  5 | 0.00000000
   35 |   3 |  5 | 0.00000000
   36 |   5 |  5 | 0.00000000
   37 |   0 |  0 | 0.00000000
   38 |   1 |  0 | 0.00000000
   39 |   2 |  0 | 0.00000000
   40 |   3 |  0 | 0.00000000
   41 |   4 |  0 | 0.00000000
   42 |   5 |  0 | 0.00000000
   43 |   0 |  1 | 0.00000000
   44 |   0 |  2 | 0.00000000
   45 |   2 |  1 | 0.00000000
   46 |   1 |  1 | 0.00000000
   47 |   2 |  2 | 0.00000000
   48 |   3 |  1 | 0.00000000
   49 |   4 |  1 | 0.00000000
   50 |   5 |  1 | 0.00000000
   51 |   2 |  3 | 0.00000000
   52 |   3 |  2 | 0.00000000
   53 |   5 |  2 | 0.00000000
   54 |   1 |  2 | 0.00000000
   55 |   0 |  3 | 0.00000000
   56 |   3 |  3 | 0.00000000
   57 |   4 |  2 | 0.00000000
   58 |   2 |  4 | 0.00000000
   59 |   2 |  5 | 0.00000000
   60 |   5 |  3 | 0.00000000
   61 |   0 |  4 | 0.00000000
   62 |   1 |  3 | 0.00000000
   63 |   0 |  5 | 0.00000000
   64 |   3 |  4 | 0.00000000
   65 |   4 |  3 | 0.00000000
   66 |   5 |  4 | 0.00000000
   67 |   1 |  4 | 0.00000000
   68 |   4 |  4 | 0.00000000
   69 |   1 |  5 | 0.00000000
   70 |   4 |  5 | 0.00000000
   71 |   3 |  5 | 0.00000000
   72 |   5 |  5 | 0.00000000
